TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist
295671937;141.2766171;151.8502256;117.7026508;0.214683206;0.213771509
295671984;143.8458404;151.333857;115.9325132;0.221256483;0.205597715
295672015;145.4879304;150.9806915;114.8869913;0.223987545;0.20130547
295672046;146.5061758;150.8600605;115.7176914;0.222291432;0.200494576
295672078;143.4621699;148.9634353;117.4758396;0.222504423;0.233946157
295672109;143.666833;151.0292038;116.6700527;0.242594681;0.189790811
295672140;142.6835868;152.3343048;118.3436126;0.242407396;0.185637587
295672187;135.7772545;162.3656498;123.2554833;0.232283769;0.236876463
295672203;127.9509797;167.9002529;127.228777;0.231369313;0.243999253
295672234;131.8106408;148.5568736;127.8045119;0.230190707;0.22741476
295672281;130.3125924;154.8463367;125.719414;0.238629893;0.184827901
295672312;128.3243965;151.8145002;118.974858;0.23812902;0.243500014
295672343;130.468561;157.7768823;112.3496964;0.237974576;0.243258831
295672375;134.096321;156.4930307;99.14448059;0.237780812;0.242825451
295672406;135.5157886;161.3176923;92.61774139;0.237731423;0.242623089
295672437;141.722859;148.3102029;90.03778251;0.237668739;0.241838553
295672484;143.8114307;150.7463778;83.44426282;0.237813532;0.241597791
295672500;144.2017947;155.2688768;81.85613402;0.237778309;0.241522567
295672546;143.5999477;158.0774239;80.95649661;0.23769402;0.241563088
295672578;135.9985374;153.8284054;111.5804142;0.238441929;0.22461776
295672609;138.9266137;148.5713317;122.384586;0.195627877;0.243508115
295672640;140.6452486;154.6972161;122.2163104;0.196975855;0.194639345
295672671;140.46326;154.6572696;122.5256982;0.19714223;0.194615941
295672703;140.3974062;154.3671917;122.7275834;0.19666186;0.196950542
295672734;140.320974;153.9812797;123.0603025;0.196367285;0.200323857
295672781;140.2548464;154.321595;123.2603021;0.196081226;0.201330236
295672812;139.9510574;153.8817177;123.4004157;0.196595867;0.204263934
295672843;139.98852;153.878007;123.407448;0.196390958;0.202645797
295672875;139.8660949;153.8265668;123.4212651;0.196434841;0.203713446
295672906;139.7501487;156.6524493;123.567345;0.196432386;0.204035107
295672937;139.6175312;153.4894857;123.6580096;0.196543919;0.204822388
295672968;138.1139449;150.4036099;123.6572447;0.196371194;0.243466638
295673015;139.5121778;153.0459981;123.6593666;0.196186572;0.208463946
295673046;138.1456202;147.5410145;123.433013;0.197173338;0.243414664
295673078;139.089259;152.2439841;123.336157;0.196260239;0.212612882
295673109;139.0739376;152.6406053;123.3208157;0.195667986;0.212496331
295673140;139.2626998;152.7109912;122.7227258;0.196400878;0.211053342
295673171;139.6852792;152.8703237;122.0515898;0.196718487;0.208556104
295673203;139.6930553;152.4764676;122.0509676;0.194551368;0.209513711
295673234;140.3184365;153.8191148;121.6952903;0.195232256;0.199717227
295673281;138.7596111;153.5147016;121.2507831;0.205125595;0.195844775
295673312;138.5329459;153.7780766;120.7566379;0.20368507;0.197973049
295673343;137.6864164;153.785263;120.7151483;0.205628478;0.199410674
295673375;135.5868609;153.8100457;120.0242981;0.215893075;0.197142435
295673406;135.082924;154.8709282;120.5576642;0.21528782;0.201513655
295673437;133.5503693;151.0653537;120.7699452;0.215989501;0.24321264
295673468;134.1646144;158.8287875;121.16874;0.216044158;0.203365768
295673515;134.0061625;158.8365937;122.2586221;0.212855781;0.203267735
295673546;135.9504496;159.1161853;121.5267005;0.230895505;0.181548234
295673578;137.1679891;156.5670746;120.6746172;0.238207823;0.181557947
295673609;137.9416488;156.3531516;120.2036467;0.240772106;0.181566875
295673640;137.0367438;159.8033672;122.0578643;0.22860402;0.18958009
295673671;136.8159103;159.0888261;123.6005625;0.216958534;0.21014174
295673703;137.0747596;154.5605747;122.9050502;0.216031225;0.21048913
295673734;136.723433;150.7382159;121.8297395;0.215500382;0.243234302
295673781;141.139573;155.4260322;120.1710848;0.215428662;0.192267909
295673812;143.4326738;154.4728157;117.6299924;0.223478175;0.186606368
295673843;143.6419864;154.5955594;117.0401687;0.225059384;0.184800641
295673875;143.3744453;154.1967267;117.1853231;0.22165266;0.191131221
295673906;140.3891069;156.7388359;116.8664048;0.221488619;0.243366502
295673937;137.2675197;168.273231;116.8528859;0.221257326;0.243604554
295673968;137.1180645;167.9074038;116.8866826;0.221149579;0.243636326
295674015;137.022204;167.9736742;116.9282991;0.221236915;0.243664051
295674046;135.4319518;171.2299064;118.3069156;0.21103278;0.243648855
295674078;135.0337752;173.5902008;118.5051139;0.209386077;0.243634373
295674109;134.8429697;173.4668283;118.6127128;0.208747448;0.243623112
295674140;134.9023844;172.9732019;118.3269972;0.209417042;0.243615558
295674171;134.864935;172.3499485;117.7869044;0.213004612;0.243635236
295674203;134.8022337;171.7906507;117.7759097;0.213336043;0.243638589
295674234;134.8474289;172.2995567;117.7574979;0.213359686;0.243636655
295674281;134.820887;171.6547217;117.6824539;0.214224256;0.243639353
295674312;134.8263651;172.0353962;117.6980409;0.214205391;0.243638513
295674343;136.9874332;164.0327032;117.6602289;0.213800771;0.243506296
295674375;137.0841308;164.193754;117.4368744;0.213916769;0.243480702
295674406;136.8572388;164.1214645;117.3592975;0.214450934;0.243461193
295674437;137.220551;164.1729748;117.6414118;0.214940144;0.243432911
295674468;137.4947497;164.5986359;117.1998402;0.215075486;0.243402728
295674500;137.598396;164.1707729;116.8970947;0.21548495;0.243378331
295674546;137.7017598;165.0051723;116.5464054;0.216027441;0.243352393
295674578;137.6560383;164.5211337;116.4254761;0.216261567;0.243325597
295674609;137.6911611;164.258413;116.3207217;0.216258533;0.243297617
295674640;137.7068518;164.543698;116.2745646;0.216166059;0.243266807
295674671;137.7311109;164.507069;116.2112247;0.216017377;0.243236016
295674703;137.8140393;164.6613472;116.0639337;0.21586016;0.243203267
295674734;137.8194854;164.0045718;115.9842174;0.215795166;0.243171605
295674781;137.2226017;164.2590422;116.3967174;0.215936262;0.24314238
295674812;137.2642809;163.3165961;116.2609616;0.215894414;0.243117536
295674843;137.3310611;163.1810984;116.6650924;0.215833984;0.243082307
295674875;137.0157627;163.5459948;116.7908303;0.215903156;0.243048589
295674906;137.1748301;163.5780876;116.479197;0.216380631;0.243020023
295674937;137.2691399;163.6803791;116.3448109;0.216442747;0.242989839
295674968;137.3346139;163.6297057;116.2297444;0.21624683;0.242960837
295675000;137.4489177;164.0786557;116.1181422;0.216173344;0.242930546
295675046;137.5519443;164.5951211;115.9528042;0.216320937;0.24290139
295675078;137.6540339;163.567556;115.7925243;0.21655696;0.242873419
295675109;137.7265568;163.8367474;116.1077648;0.216673451;0.242846801
295675140;137.7332877;164.2712971;116.4215239;0.216536934;0.242817894
295675171;137.3909379;164.4980185;116.4650805;0.216860749;0.242789143
295675203;137.4180388;163.6767458;116.2827097;0.217000446;0.242762794
295675234;137.4470294;164.6020522;116.249292;0.217041973;0.242735354
295675281;137.0325813;164.3598714;116.9147432;0.217155504;0.242712297
295675312;137.3178704;164.3054788;116.3942828;0.217123427;0.242683968
295675343;137.3490103;164.5648645;116.3054017;0.217195553;0.242657317
295675375;137.586931;164.656082;115.802747;0.217243879;0.242630217
295675406;137.5755056;164.3038063;115.785838;0.217173049;0.242601538
295675437;137.6434858;164.7100628;115.7137556;0.217107666;0.242571948
295675484;137.6642754;164.4999883;115.6333777;0.217054919;0.242543564
295675515;137.1990642;164.8850299;115.9355883;0.217120416;0.242517359
295675546;136.8955478;164.1257026;116.131832;0.217040968;0.242490824
295675578;136.9834362;164.9615505;115.9591765;0.217455149;0.242470965
295675609;137.0620712;164.3351969;115.8655883;0.217608056;0.242448418
295675656;137.1999522;165.0423281;115.686661;0.217611099;0.24242491
295675671;137.2400968;164.4984073;115.6414259;0.217566;0.242401469
295675703;136.9221734;164.8708213;115.8483913;0.21778946;0.242379498
295675734;137.2253474;165.020112;115.5004542;0.218125114;0.242357256
295675765;137.2886573;164.4705884;115.5010119;0.21787305;0.242335484
295675812;137.3587684;165.177604;115.4993334;0.217708908;0.24231369
295675843;137.3666196;164.5542811;115.4336279;0.217727731;0.242289901
295675875;137.4104112;164.4766033;115.2584642;0.218404083;0.242271622
295675906;136.8756612;164.2539;115.7383057;0.218346082;0.242250428
295675937;136.6108499;164.3171477;115.9402667;0.21843645;0.242229831
295675968;137.9124614;160.8774555;116.0235596;0.218423457;0.219923516
295676000;137.0826779;162.8245644;115.8853555;0.218312944;0.239924112
