TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist;;;;;
4858890;111.1742273;169.7311038;141.8822646;0.251466955;0.221911489;;;;;
4858921;111.1060605;176.3590284;143.3099878;0.243750303;0.212517377;;;;;
4858953;110.7088986;175.4478104;143.3625615;0.237690678;0.214369813;;;;;
4858984;114.734851;163.1136961;141.8693613;0.237631458;0.222570396;;;;;
4859015;113.2162525;172.4581143;141.6471033;0.233332891;0.221446601;;;;;
4859062;113.007272;168.3826495;138.8023498;0.231810692;0.255879804;;;;;
4859093;113.6960185;175.6945132;136.5654031;0.234580718;0.255898012;;;;;
4859125;112.9295845;168.4708972;134.575228;0.235436385;0.255936934;;;;;
4859156;103.3710524;125.0378466;132.4927826;0.237066738;0.255643756;;;;;
4859187;111.1077508;174.7688743;130.5733913;0.242794391;0.255891584;;;;;
4859218;99.47931999;126.3020536;129.980361;0.238866953;0.255658151;;;;;
4859250;121.3757265;164.6734909;129.5102266;0.189834957;0.233699816;;;;;
4859296;127.5172554;150.3161769;129.3179893;0.189476712;0.190959375;;;;;
4859328;127.656602;147.6842509;129.318735;0.189364473;0.190940039;;;;;
4859359;119.8778015;147.2931155;129.3863244;0.189444676;0.256084885;;;;;
4859390;113.8348575;164.5097946;126.9064322;0.252442924;0.255845812;;;;;
4859421;113.9225393;164.2648957;130.1278223;0.190551119;0.255897423;;;;;
4859453;117.5492183;151.9712968;127.0938701;0.258975237;0.255846443;;;;;
4859484;120.5336982;163.8183074;130.8615185;0.190871099;0.191221445;;;;;
4859515;131.1925083;151.9319401;129.437631;0.227182603;0.191291775;;;;;
4859562;128.8063558;154.0538828;130.3433427;0.227628822;0.19130298;;;;;
4859593;123.8486739;164.1782792;131.4503334;0.225457644;0.191295623;;;;;
4859625;113.1494499;152.9719404;133.1643337;0.220220799;0.244962264;;;;;
4859656;126.7282205;154.6089357;134.6451036;0.21515562;0.244352564;;;;;
4859687;147.7020442;101.7270326;136.7992117;0.208595692;0.237090143;;;;;
4859718;147.6374203;99.18539726;138.0618724;0.204678151;0.234173927;;;;;
4859750;148.0829572;96.78667196;139.4475632;0.200948339;0.231537942;;;;;
4859796;139.2588608;116.5573091;142.0169034;0.195077055;0.202423269;;;;;
4859828;122.7237739;125.0578907;146.0052692;0.192915521;0.20636709;;;;;
4859859;125.7863408;88.05105517;150.5721306;0.193363926;0.19762817;;;;;
4859890;119.551423;117.4861352;149.5164373;0.192738562;0.196196422;;;;;
4859921;121.4513302;136.2392603;149.1626462;0.192899825;0.197131495;;;;;
4859953;113.7512243;141.9005301;148.4807738;0.192107658;0.201889649;;;;;
4859984;111.3654912;70.15001214;149.7104677;0.193111579;0.191214633;;;;;
4860015;104.9609457;110.7303133;150.1208935;0.192536065;0.191204552;;;;;
4860062;106.5530671;114.5127192;150.7024145;0.192759678;0.191208185;;;;;
4860093;115.3488661;76.93483485;151.0105772;0.193058925;0.191280445;;;;;
4860125;118.8669253;56.92651541;152.5111131;0.1935042;0.191293211;;;;;
4860156;149.0481963;18.10842179;156.1845014;0.195221892;0.191622457;;;;;
4860187;145.985188;69.85869809;158.9444557;0.195208767;0.191611165;;;;;
4860218;155.2312438;17.57134527;154.6274852;0.195569642;0.191764857;;;;;
4860250;129.3552595;11.69168368;158.6698665;0.195548221;0.191810522;;;;;
4860296;129.3686447;12.6792111;156.2273999;0.195569244;0.191723689;;;;;
4860328;133.6025818;50.08556283;143.8022991;0.195751136;0.191465818;;;;;
4860359;143.4621091;119.7075218;139.2044276;0.19576027;0.191397378;;;;;
4860390;86.20060699;55.01918368;157.0584659;0.195976269;0.192164952;;;;;
4860421;94.36181737;35.95573394;150.4280528;0.196062192;0.19231638;;;;;
4860453;54.37053939;178.56395;144.2407935;0.196100535;0.255037548;;;;;
4860484;52.64722139;173.7109924;149.8113788;0.196198628;0.25459332;;;;;
4860531;53.18358799;173.0702636;149.8551828;0.196204348;0.254487569;;;;;
4860562;53.49121156;174.6526133;150.7365439;0.19622506;0.254616289;;;;;
4860593;55.12039353;174.0689885;149.2998838;0.196196535;0.25461539;;;;;
4860625;53.29091869;172.3930344;148.8764558;0.196261615;0.254247544;;;;;
4860656;55.21224442;170.8687344;146.0136644;0.196166574;0.253992915;;;;;
4860687;56.59012079;164.97035;152.9716048;0.196261513;0.253895674;;;;;
4860718;56.99707178;131.0199068;155.5164481;0.196348803;0.206663047;;;;;
4860750;47.11274578;133.8186272;164.4882747;0.196600961;0.232502507;;;;;
4860796;47.49243639;135.9520174;162.3813553;0.196618412;0.227258108;;;;;
4860828;42.0331796;149.0020367;136.5849694;0.196288234;0.231428709;;;;;
4860859;42.39538365;148.7506636;139.8810121;0.196420548;0.229181983;;;;;
4860890;42.57832767;150.6454099;141.1495048;0.196488399;0.226195024;;;;;
4860921;42.48536651;152.4709008;147.046045;0.19658665;0.224822865;;;;;
4860953;41.89851526;159.3581039;152.4278048;0.196640623;0.253683604;;;;;
4860984;44.08590446;152.384075;156.2893999;0.196668472;0.208612688;;;;;
4861015;43.22046688;153.7987897;159.2542296;0.196682114;0.237786603;;;;;
4861062;43.10202429;153.361601;159.4006573;0.196667326;0.249611899;;;;;
4861093;44.08979417;152.1529352;162.3623286;0.196697738;0.234250345;;;;;
4861125;44.04752658;151.7182173;163.5651572;0.196699916;0.230176702;;;;;
4861156;43.43292408;154.3843643;162.4237811;0.196687664;0.23854948;;;;;
4861187;43.43148715;150.5180772;163.422705;0.196680527;0.211177607;;;;;
4861218;42.72951004;150.6999325;164.8000294;0.196671993;0.214335732;;;;;
4861250;41.97927955;150.9199383;165.6837079;0.196658996;0.2169094;;;;;
4861296;38.0123345;174.0428409;166.0470819;0.19664943;0.254929711;;;;;
4861328;42.02229102;149.4578587;167.3739098;0.19669681;0.212270298;;;;;
4861359;71.37388732;149.3435658;101.4832201;0.196389678;0.182494521;;;;;
4861390;179.4382749;179.0708675;101.4821628;0.196397352;0.260126911;;;;;
4861421;179.4340519;179.0659261;101.7255408;0.196386827;0.260110624;;;;;
4861453;179.4320676;179.0637535;101.8443365;0.196382062;0.260103948;;;;;
4861484;179.4302907;179.0618816;101.9414112;0.196377901;0.260098169;;;;;
4861515;26.16174231;133.0886787;103.1729561;0.19628382;0.176962;;;;;
4861562;71.92750012;128.6435108;103.458115;0.196265462;0.180592151;;;;;
4861593;71.94250445;126.9255569;103.6903708;0.196250599;0.180417736;;;;;
4861625;75.55518045;160.3233108;103.8661505;0.196239224;0.18044841;;;;;
4861656;72.77512059;122.5806704;103.9212206;0.196235056;0.180294783;;;;;
4861687;79.96821653;152.0275285;103.8103838;0.196240566;0.222117834;;;;;
4861718;79.40041184;151.2189576;103.7959441;0.196241862;0.209686823;;;;;
4861750;73.40959819;138.7574124;103.7746304;0.196244355;0.180889299;;;;;
4861796;73.32508614;139.2857803;103.8063155;0.196243279;0.180932377;;;;;
4861828;73.28326001;137.6265001;103.8032164;0.19624363;0.180958236;;;;;
4861859;73.36526825;140.9672309;103.6187325;0.196252172;0.180951058;;;;;
4861890;69.78733084;149.3737273;103.4721558;0.196259454;0.223138601;;;;;
4861921;79.09237312;155.342613;103.1274148;0.196280573;0.223667646;;;;;
4861953;78.99471566;155.147866;103.138157;0.196282232;0.223775766;;;;;
4861984;78.89683432;154.2570425;103.1118966;0.196285015;0.223880496;;;;;
4862031;79.02984544;155.0310009;103.6792584;0.196253804;0.223708681;;;;;
4862062;72.41132845;127.2519689;103.8505646;0.196242715;0.180835548;;;;;
4862093;72.62025165;131.7022014;103.8676065;0.196237022;0.180753209;;;;;
4862125;72.69748517;132.8902925;103.8580866;0.19623499;0.180699914;;;;;
4862156;72.61460174;134.6169875;103.6877568;0.196243693;0.18078517;;;;;
4862187;72.49692243;141.0364724;103.1455275;0.196275381;0.180877159;;;;;
4862218;72.55900737;143.8866727;103.3676406;0.196262936;0.180823195;;;;;
4862250;72.3371034;144.6510461;103.5366054;0.196253431;0.180681629;;;;;
4862296;41.8962263;119.1540783;103.201072;0.196278862;0.17706658;;;;;
4862328;77.90648945;155.5426461;103.3261461;0.196275992;0.224820876;;;;;
4862359;42.58988803;118.7385505;103.2505407;0.196281781;0.177481717;;;;;
4862390;42.04112773;120.1805754;102.6599427;0.196316657;0.177549784;;;;;
4862421;77.53141367;157.0153441;102.3866891;0.196337395;0.225277271;;;;;
4862453;71.02993173;156.3123598;102.7473595;0.196355851;0.181023693;;;;;
4862484;70.90901471;157.1884049;103.1660157;0.196367181;0.181089065;;;;;
4862531;70.02905274;156.0917285;102.4345467;0.196451496;0.181795132;;;;;
4862562;69.39206536;154.9567841;102.1765382;0.196494415;0.182104636;;;;;
4862593;54.68564584;174.1190252;113.5778103;0.196688366;0.245027944;;;;;
4862625;54.38142002;173.4365431;113.8821591;0.19668801;0.245134622;;;;;
4862656;53.90485363;173.0533629;114.0571621;0.196692911;0.245719925;;;;;
4862687;50.25679995;174.8679259;114.2726995;0.196698401;0.214056837;;;;;
4862718;51.40897421;173.9777847;114.9987776;0.196703908;0.249115605;;;;;
4862750;179.5988879;179.0017047;115.4078611;0.196702324;0.259613632;;;;;
4862781;179.5994617;178.9922177;115.7203531;0.196699645;0.259560764;;;;;
4862828;179.5800305;178.9040005;113.2686172;0.196603905;0.259043168;;;;;
4862859;179.5516917;178.824993;112.3218055;0.196487891;0.258543649;;;;;
4862890;179.3686018;178.5776092;114.3031637;0.195792339;0.256679834;;;;;
4862921;179.3605914;178.5717592;114.1975071;0.195759052;0.256628334;;;;;
4862953;179.3553222;178.5678744;114.1296523;0.195737112;0.256593784;;;;;
4862984;37.74169585;165.8886648;114.1591894;0.195627553;0.254278544;;;;;
4863015;37.77674065;166.4386839;114.1834323;0.195582735;0.254373212;;;;;
4863062;37.5450048;166.2553945;114.1820755;0.195568481;0.254364494;;;;;
4863093;37.56845983;166.8022572;114.1820626;0.195564591;0.254359867;;;;;
4863125;42.38697564;171.7746025;114.2116173;0.195553508;0.254303124;;;;;
4863156;36.6396726;166.5227908;114.1679592;0.195558067;0.254126542;;;;;
4863187;42.4913387;171.9283151;114.0693675;0.195573309;0.254245887;;;;;
4863218;42.63072087;171.3728069;113.9971516;0.195582554;0.254233491;;;;;
4863250;42.71862487;170.9681942;113.9420664;0.195589374;0.254225853;;;;;
4863296;42.7874145;170.3234085;113.9350023;0.195594067;0.254229039;;;;;
4863328;36.6511409;165.8648729;113.8963878;0.195602986;0.254068464;;;;;
4863359;36.8629371;166.4371575;113.8812526;0.195612819;0.254066782;;;;;
4863390;42.68098269;172.4900001;113.8665362;0.195617511;0.254271203;;;;;
4863421;42.73079793;172.6337022;113.859682;0.19562148;0.254272263;;;;;
4863453;37.90950235;168.673592;113.8461106;0.195623837;0.254145603;;;;;
4863484;42.98985822;171.2355928;113.8420041;0.195626078;0.254220411;;;;;
4863515;49.18182575;148.1990294;91.49297383;0.195526256;0.216669745;;;;;
4863562;60.7433941;172.9960915;91.32867702;0.195512088;0.252891758;;;;;
4863593;48.92435771;148.5200789;91.16213053;0.195501433;0.214905354;;;;;
4863625;48.8686733;147.9846792;91.05449018;0.195493956;0.214402164;;;;;
4863656;60.80460161;172.7958925;90.90846859;0.195481439;0.252812161;;;;;
4863687;62.7590471;125.6945544;90.83487779;0.195467747;0.250764751;;;;;
4863718;60.26857574;172.8818671;90.77127656;0.195462696;0.253135271;;;;;
4863750;62.47852173;125.2584322;90.67120229;0.19544532;0.250025716;;;;;
4863796;62.57607665;126.7990566;90.57342835;0.195427901;0.25005736;;;;;
4863828;62.61376105;127.1881805;90.43676207;0.195397735;0.250085195;;;;;
4863859;62.37727249;125.8571029;90.38685245;0.195388425;0.2499539;;;;;
4863890;62.38049295;125.8399696;90.34058463;0.195383089;0.249908915;;;;;
4863921;62.32431497;126.2146972;90.30492219;0.195378199;0.249839072;;;;;
4863953;62.33810166;125.6578187;90.27524826;0.195373113;0.249791972;;;;;
4863984;62.30571564;125.3017087;90.22332281;0.195359949;0.249727827;;;;;
4864062;62.28362305;124.6122576;90.19767536;0.195355844;0.249688829;;;;;
4864093;62.2757582;124.285383;90.17888483;0.195352291;0.249664088;;;;;
4864125;62.29212475;124.063317;90.15377614;0.195348433;0.249666026;;;;;
4864156;62.23626808;123.8486352;90.12958216;0.195339195;0.249666209;;;;;
4864187;62.24230946;124.0719993;90.1192524;0.195338303;0.249656693;;;;;
4864218;61.08313268;122.3352421;91.80730452;0.195323028;0.249496936;;;;;
4864265;59.62199229;121.4955082;94.01398961;0.19529914;0.249350305;;;;;
4864296;50.23539947;84.16828068;95.50265594;0.195287424;0.244987627;;;;;
4864328;49.62539124;84.59198711;96.45957417;0.195279875;0.244952432;;;;;
4864359;49.20104318;84.47873392;97.1584578;0.195273161;0.244934845;;;;;
4864390;48.93587454;85.17940127;97.57085635;0.195269933;0.244919286;;;;;
4864421;48.68976423;85.59184699;97.95944304;0.195267473;0.244907009;;;;;
4864453;48.50331869;85.35249838;98.23044827;0.195264214;0.244898354;;;;;
4864484;48.36643576;85.03335183;98.43947764;0.19526186;0.244890024;;;;;
4864531;48.28596587;85.90909125;98.57852603;0.195260905;0.244869947;;;;;
4864562;114.5572451;90.0994347;68.5853685;0.19155039;0.176228481;;;;;
4864593;123.2802341;177.4735357;54.18587689;0.186306476;0.183120815;;;;;
4864625;120.6483333;177.4607333;48.97132714;0.184273236;0.185340102;;;;;
4864656;120.0711832;177.4640537;48.23949328;0.183966656;0.18554626;;;;;
4864687;119.9828775;177.4589452;49.21540366;0.18426235;0.185226528;;;;;
4864718;119.7473656;177.4574694;49.58911311;0.184354468;0.185104096;;;;;
4864750;93.47858417;64.56362802;50.65113807;0.181188821;0.187763598;;;;;
4864796;93.40777192;59.14659992;50.64706987;0.18116881;0.187763014;;;;;
4864828;93.32682433;54.9649763;50.64185778;0.181153198;0.187763828;;;;;
4864859;93.28185289;53.22033819;50.63917612;0.18114202;0.187758203;;;;;
4864890;93.17290353;57.8519044;50.63184416;0.181124151;0.18776251;;;;;
4864921;93.11143145;55.52565052;50.63137502;0.181113997;0.187763306;;;;;
4864953;93.07043052;59.73433164;50.62475495;0.181106722;0.187763092;;;;;
4864984;93.00726539;60.52321249;50.62032171;0.181092433;0.187763734;;;;;
4865015;92.95253132;59.91157052;50.61985215;0.181080561;0.187762195;;;;;
4865062;117.7251281;177.4548088;52.32286553;0.185098962;0.184360082;;;;;
4865093;117.6858473;177.4548856;52.30901586;0.185095434;0.184364236;;;;;
4865125;117.4260267;177.4545101;51.86028977;0.18492097;0.184523713;;;;;
4865156;117.2533443;177.4546158;51.57926849;0.184808169;0.184629673;;;;;
4865187;117.132712;177.4548048;51.3594025;0.18471664;0.184706378;;;;;
4865218;117.1927148;177.4546904;51.44361097;0.184754819;0.184663658;;;;;
4865250;117.2367574;177.4544727;51.53054924;0.184803872;0.184603006;;;;;
4865296;117.3639104;177.4544613;51.65795165;0.184874018;0.184522973;;;;;
4865328;92.99420276;73.60623941;48.33838228;0.180361129;0.187968631;;;;;
4865359;93.00460486;73.26087766;48.45281294;0.180402145;0.187952367;;;;;
4865390;93.01398469;73.36927177;48.56258282;0.180442287;0.187934086;;;;;
4865421;93.00786733;71.00372544;48.66253144;0.180478709;0.187919195;;171;;;
4865593;0;0;0;0;0;;172;;11437;11.437
