TimeStamp;AngleElbowRight;AngleWristRight;AngleShoulderRight;AngleElbowLeft;AngleWristLeft;AngleShoulderLeft;LShoulderElbow;LElbowWrist
297565015;136.5069713;154.1033818;124.8115145;103.3567482;158.4356194;134.1638014;0.198129571;0.18569741
297565046;136.5777293;154.6076659;124.8036882;105.6357194;157.7173825;134.1572228;0.197596818;0.186591432
297565078;136.6309188;153.9583066;124.3589884;107.8146322;158.6593986;134.0569485;0.197399925;0.186742505
297565109;136.4827735;153.8352537;124.5196627;109.7293433;157.0422535;134.0827549;0.19788917;0.185934337
297565156;136.5829588;153.8579429;124.3897572;108.5008168;155.9107299;134.6292002;0.198352903;0.184658966
297565187;136.6986644;153.7786276;124.2943581;108.1496845;171.9052393;134.6528342;0.198124152;0.18401342
297565218;136.5631334;153.6781813;123.9963525;112.0558008;155.4118321;135.4329106;0.199663854;0.184129784
297565250;139.4891319;150.0955625;124.8614595;115.6013595;165.2860528;135.6148971;0.183406131;0.196488313
297565281;139.7011429;151.4622143;124.4710216;115.1876942;172.9832055;135.9674156;0.185711232;0.186959406
297565312;139.331055;152.3841844;124.1241682;115.7855326;176.1544115;136.2201362;0.188156311;0.186770545
297565343;136.5284438;151.7857273;124.0479521;130.2572018;168.5594913;124.2359038;0.18855646;0.215749426
297565390;130.8251326;168.4630658;123.959685;136.6621224;162.9930474;124.159016;0.193050809;0.225170004
297565421;130.8811097;167.3927151;123.7892331;137.935468;165.3033558;123.698025;0.193336117;0.225172063
297565453;130.7640772;167.4016045;123.8080228;138.7964839;171.2922769;123.5879638;0.19344075;0.22517844
297565484;130.7144021;167.9609168;123.8478656;139.9529194;172.2979089;123.4205834;0.193525549;0.225179762
297565515;134.4773725;164.9806035;123.733933;145.713428;160.3767266;123.0389457;0.194324416;0.222544574
297565546;130.2996961;170.2643873;122.4651071;146.5136431;157.7383331;120.7993397;0.194305914;0.2252026
297565578;134.3176672;164.4395849;121.6717316;138.9171543;166.9166662;118.8675923;0.194326422;0.224951878
297565609;137.4954519;152.4676467;121.053899;139.0156678;166.8052358;118.015365;0.194724066;0.197519682
297565656;138.3300752;151.5014061;120.7163724;139.285656;166.2266776;117.453946;0.195553505;0.190476726
297565687;138.5839953;152.0451667;120.5691745;139.057611;166.456164;117.1701455;0.194700664;0.190778348
297565718;138.6237995;151.8825754;120.4889181;139.2282531;166.2872113;116.8286289;0.194415661;0.191019245
297565750;138.6332191;152.1411241;120.4507447;123.9649938;171.084281;129.1381751;0.194340477;0.191161207
297565781;138.6009162;152.3648739;120.4122624;144.2073801;171.4872986;129.1813633;0.194289542;0.191150039
297565812;138.6030152;152.3861397;120.3307949;144.1859431;171.6845207;129.192367;0.194257592;0.191258709
297565843;138.4174318;153.2427026;120.1344032;140.4597318;176.5290883;129.2106176;0.195631465;0.189458588
297565875;138.5288159;152.7181664;120.048595;143.5690289;173.4131267;129.1782361;0.19536622;0.189238354
297565921;138.08536;153.2855744;119.8007208;143.7621182;173.526435;129.18484;0.197696749;0.189054209
297565953;132.6290565;163.5258768;119.6938437;143.7743696;173.7408216;129.1921563;0.198276539;0.225067552
297565984;129.4291731;173.2211001;119.5905628;143.7976966;173.8892115;129.1608563;0.198061027;0.22526895
297566015;132.619817;165.5542044;119.4728387;143.8549448;173.8203878;129.1362017;0.198554539;0.225078928
297566046;137.4851473;157.658447;119.3873901;143.9512812;173.5379041;129.1389735;0.19862729;0.193455337
297566078;137.6664896;157.9528478;119.3936002;143.9635588;172.8892633;129.1214555;0.198093739;0.191989864
297566109;137.7499283;158.0907058;119.4917688;144.0167543;173.0477021;129.1135053;0.196866621;0.192928994
297566156;135.3997149;161.1544839;120.2677165;144.0705607;173.0735475;130.5253754;0.196913427;0.214538254
297566187;129.7750281;173.8833258;120.1040782;144.1496529;172.8766617;130.3832578;0.1975795;0.225256698
297566218;133.2755248;116.2919873;119.952005;145.2000168;171.3202638;130.1691778;0.197787239;0.225042766
297566250;135.6856537;179.5252745;96.4434282;145.6822943;170.0469342;129.9223263;0.171469281;0.226093115
297566281;135.663179;179.8025524;96.46850641;145.8692246;170.467271;129.8491614;0.171460515;0.226092965
297566312;135.5965114;179.1961501;96.480844;146.1518921;169.88633;129.7851293;0.171440146;0.226092416
297566343;157.0297355;135.9942805;96.43467907;145.7137139;170.3845076;129.7941735;0.171444537;0.225677846
